scenario,realization,save_path,n,request_failure_pct,service_delay_pct,avg_wait_min,elapsed_min
F736,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r2/simulation_1,6080,12.714,16.13,16.935,2.0
F736,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r1/simulation_1,5993,11.28,14.632,16.145,2.1
F736,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r4/simulation_1,6011,11.529,14.216,16.185,2.0
F736,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r5/simulation_1,6061,12.011,15.001,16.54,2.1
F736,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r3/simulation_1,6099,11.018,14.667,16.365,2.1
F736,6,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r6/simulation_1,5959,10.354,12.86,15.308,2.1
F736,8,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r8/simulation_1,5958,10.792,12.794,15.316,2.0
F766,1,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r1/simulation_1,5993,9.895,13.852,15.76,2.0
F766,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r0/simulation_1,5931,7.57,11.31,14.768,2.0
F736,9,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r9/simulation_1,5873,10.506,13.851,15.781,2.1
F736,7,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F736_r7/simulation_1,6035,11.897,15.968,16.759,2.1
F766,2,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r2/simulation_1,6080,11.464,13.821,15.647,2.3
F766,4,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r4/simulation_1,6011,10.364,12.973,15.501,3.0
F766,3,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r3/simulation_1,6099,9.69,13.272,15.603,3.0
F766,5,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r5/simulation_1,6061,10.559,13.263,15.654,3.0
F766,6,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r6/simulation_1,5959,8.978,12.223,14.862,3.5
F766,7,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/F766_r7/simulation_1,6035,10.555,14.765,16.139,3.5
Ct100,0,/private/tmp/claude-501/-Users-jihoyeo-Library-CloudStorage-OneDrive----research--------paper-TR-A/bb969a78-2e8a-4095-bd20-aedfac7c4300/scratchpad/campaign_fast/simul_result/Ct100_r0/simulation_1,5931,8.059,17.33,17.658,3.5
